spp,x,y
Astyanax fasciatus,-48.105869,-24.519723
Astyanax fasciatus,-105.415208,25.039158
Astyanax fasciatus,-76.535418,3.282035
Astyanax fasciatus,-77.476688,8.091363
Astyanax bimaculatus,-35.422743,-5.63017
Astyanax fasciatus,-88.569625,18.165079
Astyanax fasciatus,-76.650535,5.094487
Astyanax fasciatus,-42.885173,-20.250181
Astyanax fasciatus,-76.4333,-3.1692
Astyanax bimaculatus,-51.515465,-20.650605
Astyanax bimaculatus,-58.025413,6.788714
Astyanax fasciatus,-84.52475,9.910315
Astyanax bimaculatus,-61.459899,10.490588
Astyanax bimaculatus,-77.8261,-1.9194
Astyanax fasciatus,-76.475649,3.453508
Astyanax fasciatus,-79.339705,9.112209
Astyanax bimaculatus,-57.671132,-25.305655
Astyanax fasciatus,-84.517083,9.887724
Astyanax bimaculatus,-58.025413,6.788714
Astyanax fasciatus,-82.333925,8.680274
Astyanax fasciatus,-77.3733,0.075
Astyanax fasciatus,-44.954791,-17.336154
Astyanax fasciatus,-84.515456,9.850501
Astyanax fasciatus,-75.45,-0.55
Astyanax fasciatus,-73.99056,6.928839
Astyanax fasciatus,-73.99056,6.928839
Astyanax bimaculatus,-63.182117,-17.783296
Astyanax fasciatus,-88.82967,15.357035
Astyanax bimaculatus,-74.983774,-9.365379
Astyanax bimaculatus,-72.686798,-12.866332
Astyanax fasciatus,-88.32128,16.991285
Astyanax fasciatus,-88.32128,16.991285
Astyanax fasciatus,-88.32128,16.991285
Astyanax bimaculatus,-38.425737,-12.136093
Astyanax fasciatus,-40.50765,-9.406985
Astyanax fasciatus,-77.8317,-1.02
Astyanax fasciatus,-84.577816,9.935205
Astyanax fasciatus,-89.682384,13.997885
Astyanax fasciatus,-76.727466,5.181236
Astyanax bimaculatus,-49.950601,-21.22858
Astyanax bimaculatus,-48.474606,-20.947441
Astyanax bimaculatus,-46.755681,-1.065104
Astyanax fasciatus,-76.9867,-0.475
Astyanax bimaculatus,-74.524495,-8.38216
Astyanax fasciatus,-88.709491,17.149053
Astyanax fasciatus,-77.885,-1.3083
Astyanax fasciatus,-79.46085,9.100369
Astyanax fasciatus,-79.46085,9.100369
Astyanax fasciatus,-79.46085,9.100369
Astyanax fasciatus,-79.46085,9.100369
Astyanax fasciatus,-79.46085,9.100369
Astyanax fasciatus,-79.46085,9.100369
Astyanax fasciatus,-44.231468,-19.464853
Astyanax fasciatus,-45.978082,-23.301138
Astyanax fasciatus,-84.861108,9.892829
Astyanax bimaculatus,-75.227918,-8.781367
Astyanax fasciatus,-77.229697,7.15511
Astyanax fasciatus,-77.229697,7.15511
Astyanax fasciatus,-84.20956,10.004867
Astyanax bimaculatus,-55.768831,-20.488867
Astyanax fasciatus,-64.20511,10.37479
Astyanax fasciatus,-63.16647,10.1817
Astyanax fasciatus,-95.04871,17.435442
Astyanax fasciatus,-79.531701,8.968906
Astyanax fasciatus,-97.845432,29.839451
Astyanax fasciatus,-102.138176,26.878842
Astyanax fasciatus,-82.825078,9.72699
Astyanax fasciatus,-85.286417,10.59948
Astyanax fasciatus,-85.099485,10.472353
Astyanax fasciatus,-95.285393,16.35644
Astyanax fasciatus,-105.35447,26.389329
Astyanax fasciatus,-105.155922,27.68865
Astyanax fasciatus,-102.127399,26.968671
Astyanax fasciatus,-102.086629,26.969226
Astyanax fasciatus,-102.137613,26.9654
Astyanax fasciatus,-102.086629,26.969226
Astyanax fasciatus,-102.05532,26.946148
Astyanax fasciatus,-102.14127,26.90278
Astyanax fasciatus,-102.102036,26.918726
Astyanax fasciatus,-102.138176,26.878842
Astyanax fasciatus,-102.137634,26.965362
Astyanax fasciatus,-102.102036,26.918726
Astyanax fasciatus,-102.102036,26.918726
Astyanax fasciatus,-102.092092,27.022775
Astyanax fasciatus,-101.2416,27.198555
Astyanax fasciatus,-92.3689,17.98768
Astyanax fasciatus,-102.08333,26.85975
Astyanax fasciatus,-102.08333,26.8056
Astyanax fasciatus,-102.18062,26.94997
Astyanax fasciatus,-102.09115,27.02223
Astyanax fasciatus,-105.407469,28.344539
Astyanax fasciatus,-102.09115,27.02223
Astyanax fasciatus,-100.71639,29.03333
Astyanax fasciatus,-100.65,28.85
Astyanax fasciatus,-96.573578,18.792066
Astyanax fasciatus,-96.573578,18.792066
Astyanax fasciatus,-96.573578,18.792066
Astyanax fasciatus,-94.772811,17.199987
Astyanax fasciatus,-94.772811,17.199987
Astyanax fasciatus,-95.434925,17.066489
Astyanax fasciatus,-77.58158,-4.460631
Astyanax fasciatus,-77.87003,-4.59619
Astyanax bimaculatus,-74.50865,-5.403733
